id,title,genres,overview,poster,backdrop,rating,year,runtime,language,trailer_url
848116,Rocky Aur Rani Kii Prem Kahaani,"Comedy, Drama, Family, Romance","Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?",https://image.tmdb.org/t/p/w500/vTQIqlxUkOuyf2UKhlM2OUaFGKz.jpg,https://image.tmdb.org/t/p/original/61RYedFgX1K07xgVIvdJzukSR4g.jpg,6.1,2023,178 min,hi,https://www.youtube.com/watch?v=Ah_AMkoaLWA
1446616,Tu Yaa Main,"Thriller, Romance","A wannabe rapper from the outskirts of Mumbai and an affluent influencer elope to a coastal town, only to find themselves trapped in the pool of a derelict resort fighting for survival against the wrath of a ferocious crocodile.",https://image.tmdb.org/t/p/w500/nUPnA0I1MTaZRVCsUQc5DS5JA8W.jpg,https://image.tmdb.org/t/p/original/zIOBTZAqGwdKnOb5c6SvzxP7x86.jpg,6.4,2026,145 min,hi,
1582770,Dhurandhar: The Revenge,"Action, Crime, Thriller","As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",https://image.tmdb.org/t/p/w500/dI7CjJA4cC92UcKMBnCh5BTDHVQ.jpg,https://image.tmdb.org/t/p/original/owQeDouUZ6wI6f1aTOYEFd511zn.jpg,7.5,2026,229 min,hi,https://www.youtube.com/watch?v=NHk7scrb_9I
1291608,Dhurandhar,"Action, Crime, Thriller","A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",https://image.tmdb.org/t/p/w500/8FHOtUpNIk5ZPEay2N2EY5lrxkv.jpg,https://image.tmdb.org/t/p/original/4DfxcN4w0FuYZHQ3JAHzpHWia1U.jpg,7.103,2025,212 min,hi,https://www.youtube.com/watch?v=o--C7AH5SuI
1339876,Mardaani 3,"Action, Crime, Thriller","Officer Shivani Shivaji Roy returns to hunt down those behind the disappearance of young girls, risking everything to bring them back alive.",https://image.tmdb.org/t/p/w500/dHxLBtHw4InwsVumnthupZYz6NM.jpg,https://image.tmdb.org/t/p/original/pfcyWSaPKGagqdunfBXQYCqZHxx.jpg,7.268,2026,131 min,hi,https://www.youtube.com/watch?v=V4TJKSEftkU
1673393,Krishnavataram Part 1: The Heart (Hridayam),"Adventure, Romance, Drama","An epic devotional narrative that reimagines the journey of Lord Krishna, tracing his path from Dwarka to Kurukshetra after parting ways with Radha. As his journey unfolds, it explores his connection with people, his layered personality, and the lessons he imparts about love and life.",https://image.tmdb.org/t/p/w500/7AxJYvPWLlNiGH52A9eenDxQzu8.jpg,https://image.tmdb.org/t/p/original/quMadsmJAFKGd6UpCFwxtlrVxPF.jpg,9.0,2026,149 min,hi,https://www.youtube.com/watch?v=KIwC1m7etLE
1213898,Border 2,"Action, Drama, War","Three idealistic soldiers in the Indian army, navy and air force face grueling combat conditions in this film set during the 1971 Indo-Pak war.",https://image.tmdb.org/t/p/w500/wUcttG71zo9deP4m9sDhYPUcvi5.jpg,https://image.tmdb.org/t/p/original/fzo85eKFEjfmJ781gubJQjpQAwF.jpg,7.125,2026,201 min,hi,
1135873,GGS - Ganteng-Ganteng Sange,"Drama, Romance",Kelas Bintang is back with this pack of drama called GGS - Ganteng-Ganteng Sange.,https://image.tmdb.org/t/p/w500/39fFH027tOpTyZwSNOydSAsOCzb.jpg,,6.1,2023,28 min,hi,
444000,Love Sonia,Drama,Inspired by a real story of young girl's journey escape from the world of international sex trafficking.,https://image.tmdb.org/t/p/w500/qiCMgBHncFnH9IGn5KPWRz0hEDv.jpg,https://image.tmdb.org/t/p/original/eSW8frBUo3cuEtHQIojQLRaxg8z.jpg,7.194,2018,126 min,hi,
1190511,Sitaare Zameen Par,"Comedy, Drama",A disgraced basketball coach is given the chance to coach a team of players who are intellectually disabled as part of community services. Gulshan has apprehensions at first and feels out of place but soon realizes they just might have what it takes to make it to the national championships.,https://image.tmdb.org/t/p/w500/adYjCJGSNiL7CIaDW3g0Bcg7r2Z.jpg,https://image.tmdb.org/t/p/original/pdbML7ol4HvsI1xWX0s9LZpUGfL.jpg,7.0,2025,155 min,hi,https://www.youtube.com/watch?v=YH6k5weqwy8
1241693,Do Deewane Seher Mein,"Romance, Drama, Comedy","Two socially awkward millennials in Mumbai find love while struggling with self-acceptance. As they battle insecurities and societal pressure, their journey takes them from city chaos to mountain serenity.",https://image.tmdb.org/t/p/w500/pJu9oL6ElIaajAjwgoKyUCM319H.jpg,https://image.tmdb.org/t/p/original/tAh0dkZiOSICkRlv9wXOsvcNl4s.jpg,6.111,2026,137 min,hi,https://www.youtube.com/watch?v=rjtPZbBUawE
1239134,Bhooth Bangla,"Horror, Comedy","A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.",https://image.tmdb.org/t/p/w500/79RBp8afL4u4z3nVGR78z6eIvBB.jpg,https://image.tmdb.org/t/p/original/A2tzVTVtnTvpji96IZmleN78KKv.jpg,6.5,2026,163 min,hi,
1416391,Toaster,"Comedy, Crime, Action",Murder and chaos erupt when a miser becomes obsessed with a toaster he gave as a wedding gift.,https://image.tmdb.org/t/p/w500/8bsa86WKaQ9plaYN7rd9oGwmyVV.jpg,https://image.tmdb.org/t/p/original/3gI8gS7YIpmEzUehg3cZVQ62phl.jpg,5.318,2026,126 min,hi,
1109086,War 2,"Action, Thriller","Years ago Agent Kabir went rogue, became India’s greatest villain ever.  As he descends further into the deepest shadows... India sends its deadliest, most lethal agent after him, Agent Vikram  A Special Units Officer who is more than Kabir’s equal and a relentless Terminator driven by his own demons, determined to put a bullet into Kabir’s skull.",https://image.tmdb.org/t/p/w500/2Yc8Kl2ldPpDzLrG2M5Ddv62FXB.jpg,https://image.tmdb.org/t/p/original/pKIRUTnwY3YYU9urSdsuobdcliP.jpg,5.8,2025,173 min,hi,
781732,Animal,"Action, Crime, Drama",The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,https://image.tmdb.org/t/p/w500/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg,https://image.tmdb.org/t/p/original/lprsAHkwMxk2iC6VZxNmV0H7g1t.jpg,6.12,2023,201 min,hi,
1241634,Saiyaara,"Romance, Drama, Music","Two artistic souls find harmony through music despite their contrasting worlds. As feelings deepen, age and circumstances challenge their undeniable bond.",https://image.tmdb.org/t/p/w500/hQBIsi3ZfBYEayMc3GhcEmJVkss.jpg,https://image.tmdb.org/t/p/original/mguy0nefEUY7NKruffpLO3Stj3d.jpg,6.398,2025,150 min,hi,
1389149,Accused,"Thriller, Mystery, Drama","When a celebrated queer doctor in London is accused of sexual misconduct, her life unravels. Now under a storm of suspicion and scrutiny, her marriage fractures and the truth blurs. Her wife must decide whether to walk away, or fight for the woman the world is turning against.",https://image.tmdb.org/t/p/w500/e0YNWPVJBs9wUkcB6a1kCMF4LO7.jpg,https://image.tmdb.org/t/p/original/8QRMlkCMFNKZM2ApnIaut5t4snf.jpg,5.197,2026,107 min,hi,
360814,Dangal,"Drama, Family, Comedy","Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",https://image.tmdb.org/t/p/w500/1CoKNi3XVyijPCvy0usDbSWEXAg.jpg,https://image.tmdb.org/t/p/original/l0fNAHLOFReQJsxCOmGWvJDnimn.jpg,7.881,2016,161 min,hi,https://www.youtube.com/watch?v=x_7YlGv9u1g
1320660,Pati Patni Aur Woh Do,Comedy,"A seemingly perfect marriage in Prayagraj takes an unexpected turn when one decision leads to a chain of misunderstandings, suspicion, and comedic chaos.",https://image.tmdb.org/t/p/w500/x0RUPvba4JlCCkyyEZGlQFIFVuF.jpg,https://image.tmdb.org/t/p/original/eNAFLrd1XAAD4hgdTPjewpzYU4W.jpg,0.0,2026,115 min,hi,
1464795,Daadi Ki Shaadi,"Comedy, Drama, Family",A grandmother’s mishap with a social media post causes consternation amongst her children and threatens the prospect of her granddaughter’s wedding.,https://image.tmdb.org/t/p/w500/hKbQjE5ZcZUpuzApEjyoVCUWwdx.jpg,https://image.tmdb.org/t/p/original/4QTWMWtrBkN5PdsL4XX5Pp27VIO.jpg,0.0,2026,150 min,hi,https://www.youtube.com/watch?v=q2zwd3OVcnM
1511417,Bāhubali: The Epic,"Action, Drama","When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.",https://image.tmdb.org/t/p/w500/z9YIo2qscyaXYgRqIdRJtND3bw8.jpg,https://image.tmdb.org/t/p/original/i2GPnSwsdxHtI19e7gZwFVndpqg.jpg,6.095,2025,224 min,te,https://www.youtube.com/watch?v=q8nbZbHRcEg
1634301,Vanaveera,"Action, Drama",A descendant of the Vanara clan is pushed into conflict when a modern-day Ravana seizes his only bike for an election rally. What starts as a petty injustice soon erupts into a fierce fight for self-respect and dignity.,https://image.tmdb.org/t/p/w500/oBYExKI8E3bTzQjPkofhpV2EJon.jpg,https://image.tmdb.org/t/p/original/lmns2jlRmATs8OGWKcCkgrbHLM4.jpg,7.5,2026,N/A,te,https://www.youtube.com/watch?v=U7_VZlGApBI
1403735,Laila,"Comedy, Romance","Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",https://image.tmdb.org/t/p/w500/aFogllaRGlAhk1nqvVGFpZpl4qU.jpg,https://image.tmdb.org/t/p/original/vNUwK5P42m81uG57kKI1WxSZwIQ.jpg,5.25,2025,134 min,te,https://www.youtube.com/watch?v=FyhFBHpTh6Y
579974,RRR,"Action, Adventure, Drama",A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,https://image.tmdb.org/t/p/w500/u0XUBNQWlOvrh0Gd97ARGpIkL0.jpg,https://image.tmdb.org/t/p/original/i0Y0wP8H6SRgjr6QmuwbtQbS24D.jpg,7.7,2022,187 min,te,https://www.youtube.com/watch?v=i4pjiLGUTtk
1220522,Dacoit,"Action, Romance, Thriller","Betrayed by his better half, a man is convicted for a crime he didn't commit. Once free, he hunts her down in pursuit of vengeance, as their stories intertwine with a series of robberies.",https://image.tmdb.org/t/p/w500/lbrnJY7E0a9xxgj2cotNp6YI4dz.jpg,https://image.tmdb.org/t/p/original/q8Qlpmp2my1IZV9EVebzvhhJPmy.jpg,6.3,2026,150 min,te,
1022453,The Rajasaab,"Comedy, Horror, Fantasy, Action","Seeking his lost grandfather, a young man enters a haunted mansion and awakens a family curse powerful enough to upend both his life and reality.",https://image.tmdb.org/t/p/w500/nvK6gYa4diCnQkDVN42uoYXPrdT.jpg,https://image.tmdb.org/t/p/original/kCwmLYy9ZMto1eMH8BI9KcVVIH2.jpg,5.3,2026,186 min,te,https://www.youtube.com/watch?v=YFZMBqyXkqQ
1233327,Matka,"Action, Crime","Set between the years 1958 and 1982, Matka tells the story of Vasu, who rises from poverty to create a powerful gambling empire in India, ultimately leading the nation into a battle with the government. Based on real events, the tale explores themes of love, moral choices, and the consequences of ambition.",https://image.tmdb.org/t/p/w500/1LzHbFk93Lp00ZsqGHPAnAoUJW8.jpg,https://image.tmdb.org/t/p/original/kyVcNF6GRthdiT4oZn5XgJtl0F7.jpg,4.9,2024,159 min,te,
