id,title,genres,overview,poster_url,trailer_url
1,Pathaan,"Action,Thriller",An Indian spy battles a mercenary who has a personal vendetta against him.,https://placehold.co/300x450/1a1a2e/e50914?text=Pathaan,https://www.youtube.com/watch?v=vqu4z34wENw
2,Jawan,"Action,Thriller",A man is driven by a personal vendetta to rectify the wrongs in society while keeping a promise made years ago.,https://placehold.co/300x450/1a1a2e/e50914?text=Jawan,https://www.youtube.com/watch?v=COv52Qyctws
3,Dunki,"Comedy,Drama","Four friends from a village in Punjab share a common dream of going to England, but they lack both tickets and visas.",https://placehold.co/300x450/0f3460/f1c40f?text=Dunki,https://www.youtube.com/watch?v=AK8uegn7ljE
4,Animal,"Action,Crime,Drama","A son's love for his father spirals into a dark obsession, leading to a violent confrontation with his family.",https://placehold.co/300x450/1a1a2e/e50914?text=Animal,https://www.youtube.com/watch?v=D4O8Z-YQDcI
5,Tiger 3,"Action,Thriller",Tiger and Zoya are back on a mission to save their country and family from a deadly terrorist threat.,https://placehold.co/300x450/1a1a2e/e50914?text=Tiger%203,https://www.youtube.com/watch?v=8EpF1d-MVzE
6,Fighter,"Action,Thriller","Top IAF aviators come together to form an elite squadron, Air Dragons, to combat imminent threats.",https://placehold.co/300x450/1a1a2e/e50914?text=Fighter,https://www.youtube.com/watch?v=6amF6rW4MXU
7,Laal Singh Chaddha,"Comedy,Drama,Romance","An innocent man with a low IQ recounts his extraordinary life, mirroring India's history.",https://placehold.co/300x450/0f3460/f1c40f?text=Laal%20Singh%20Chaddha,https://www.youtube.com/watch?v=8O1JtFbiLrs
8,Brahmastra,"Action,Adventure,Fantasy",A young man on the brink of falling in love gets his world turned upside down when he discovers he has the power to control fire.,https://placehold.co/300x450/1a1a2e/e50914?text=Brahmastra,https://www.youtube.com/watch?v=5UYKkL1o5uY
9,RRR,"Action,Drama","A fearless revolutionary and an officer in the British force, who once shared a deep bond, decide to join forces.",https://placehold.co/300x450/1a1a2e/e50914?text=RRR,https://www.youtube.com/watch?v=f_vbAtFSEc0
10,K.G.F: Chapter 2,"Action,Crime,Drama",Rocky takes control of the Kolar Gold Fields and his newfound power makes the government as well as his enemies jittery.,https://placehold.co/300x450/1a1a2e/e50914?text=K.G.F%3A%20Chapter%202,https://www.youtube.com/watch?v=JKa05nyUmuQ
11,Pushpa: The Rise,"Action,Crime,Drama",A labourer named Pushpa makes enemies as he rises in the world of red sandalwood smuggling.,https://placehold.co/300x450/1a1a2e/e50914?text=Pushpa%3A%20The%20Rise,https://www.youtube.com/watch?v=pKctjlxbFDQ
12,Pushpa 2: The Rule,"Action,Crime,Drama",Pushpa returns to rule the red sandalwood empire while facing new enemies and challenges.,https://placehold.co/300x450/1a1a2e/e50914?text=Pushpa%202%3A%20The%20Rule,https://www.youtube.com/watch?v=1qD8E0C6d34
13,Kantara,"Action,Drama,Thriller","When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors.",https://placehold.co/300x450/1a1a2e/e50914?text=Kantara,https://www.youtube.com/watch?v=8B1EtVPBSMw
14,Vikram,"Action,Crime,Thriller",A special investigator assigned a case of serial killings discovers the case is not what it seems to be.,https://placehold.co/300x450/1a1a2e/e50914?text=Vikram,https://www.youtube.com/watch?v=OKBMCL-frPU
15,Ponniyin Selvan: I,"Action,Drama,History",Vandiyathevan sets out to cross the Chola land to deliver a message from the Crown Prince Aditha Karikalan.,https://placehold.co/300x450/1a1a2e/e50914?text=Ponniyin%20Selvan%3A%20I,https://www.youtube.com/watch?v=D4qAQYlgZQs
16,Ponniyin Selvan: II,"Action,Drama,History","Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire.",https://placehold.co/300x450/1a1a2e/e50914?text=Ponniyin%20Selvan%3A%20II,https://www.youtube.com/watch?v=1BlnWz1o-6s
17,Leo,"Action,Crime,Thriller",A café owner in Kashmir finds his tranquil life disrupted when a group of criminals discovers his true identity.,https://placehold.co/300x450/1a1a2e/e50914?text=Leo,https://www.youtube.com/watch?v=Po3jStA673E
18,Jailer,"Action,Comedy,Crime","A retired jailer goes on a manhunt to find his son's killers, but the road leads him to a familiar antagonist.",https://placehold.co/300x450/1a1a2e/e50914?text=Jailer,https://www.youtube.com/watch?v=Zr6T4yH8bf0
19,Salaar,"Action,Crime,Drama",The fate of a violently contested kingdom hangs on the fraught bond between two friends-turned-foes.,https://placehold.co/300x450/1a1a2e/e50914?text=Salaar,https://www.youtube.com/watch?v=COv52Qyctws
20,Kalki 2898 AD,"Action,Sci-Fi","In a post-apocalyptic world in the year 2898 AD, a bounty hunter embarks on a mission that could change the fate of humanity.",https://placehold.co/300x450/1a1a2e/e50914?text=Kalki%202898%20AD,https://www.youtube.com/watch?v=4GPvYMKtrtI
21,Devara,"Action,Drama,Thriller",A man stands up against the tyranny of a coastal village's oppressive regime to protect his people.,https://placehold.co/300x450/1a1a2e/e50914?text=Devara,https://www.youtube.com/watch?v=y1-w1kUNe6w
22,Game Changer,"Action,Drama",An IAS officer takes on a corrupt political system to bring about revolutionary change in society.,https://placehold.co/300x450/1a1a2e/e50914?text=Game%20Changer,https://www.youtube.com/watch?v=5cx7rvU9jbg
23,Bhool Bhulaiyaa 3,"Comedy,Horror,Thriller","A new chapter in the haunted mansion saga brings fresh scares, laughs, and supernatural mysteries.",https://placehold.co/300x450/0f3460/f1c40f?text=Bhool%20Bhulaiyaa%203,https://www.youtube.com/watch?v=3NzeXlN7u5k
24,Stree 2,"Comedy,Horror,Thriller","The headless ghost returns to haunt the town, and the only way to stop her is to uncover her tragic past.",https://placehold.co/300x450/0f3460/f1c40f?text=Stree%202,https://www.youtube.com/watch?v=9S3_8vs1H0Y
25,Crew,"Comedy,Crime,Drama",Three air hostesses find themselves in a web of lies and deception when they stumble upon a gold smuggling racket.,https://placehold.co/300x450/0f3460/f1c40f?text=Crew,https://www.youtube.com/watch?v=0rUOI3d5E5Y
26,Teri Baaton Mein Aisa Uljha Jiya,"Comedy,Drama,Romance","A robotics engineer falls in love with a highly advanced humanoid robot, leading to unexpected complications.",https://placehold.co/300x450/0f3460/f1c40f?text=Teri%20Baaton%20Mein%20Aisa%20Ulj,https://www.youtube.com/watch?v=I8JULmUlGDA
27,Article 370,"Action,Drama,Thriller",A young field agent is tasked with a covert operation in Kashmir that could change the political landscape of the region.,https://placehold.co/300x450/1a1a2e/e50914?text=Article%20370,https://www.youtube.com/watch?v=7VWwZ8rGjKA
28,Maidaan,"Biography,Drama,Sport","The story of Syed Abdul Rahim, the coach who built the Indian football team and led them to glory in the 1960s.",https://placehold.co/300x450/1a1a2e/f39c12?text=Maidaan,https://www.youtube.com/watch?v=3y3jB04Zq0w
29,Chandu Champion,"Biography,Drama,Sport",The inspiring true story of a man who overcame physical disability to become a champion athlete.,https://placehold.co/300x450/1a1a2e/f39c12?text=Chandu%20Champion,https://www.youtube.com/watch?v=1yvyA0G0x2o
30,Srikanth,"Biography,Drama","The journey of Srikanth Bolla, a visually impaired entrepreneur who built a multi-million dollar company.",https://placehold.co/300x450/1a1a2e/f39c12?text=Srikanth,https://www.youtube.com/watch?v=0x9J8_1M8tE
31,Laapataa Ladies,"Comedy,Drama","Two young brides get swapped on a train journey, leading to a series of hilarious and heartwarming events.",https://placehold.co/300x450/0f3460/f1c40f?text=Laapataa%20Ladies,https://www.youtube.com/watch?v=3y3jB04Zq0w
32,Madgaon Express,Comedy,Three childhood friends embark on a trip to Goa that goes hilariously wrong at every turn.,https://placehold.co/300x450/0f3460/f1c40f?text=Madgaon%20Express,https://www.youtube.com/watch?v=8EpF1d-MVzE
33,Munjya,"Comedy,Horror",A young man discovers his family's dark connection to a vengeful spirit that haunts their ancestral village.,https://placehold.co/300x450/0f3460/f1c40f?text=Munjya,https://www.youtube.com/watch?v=8EpF1d-MVzE
34,Kill,"Action,Thriller",A commando must fight for survival when a train is hijacked by ruthless bandits in rural India.,https://placehold.co/300x450/1a1a2e/e50914?text=Kill,https://www.youtube.com/watch?v=8EpF1d-MVzE
35,Maharaj,"Drama,History",A journalist takes on a powerful religious leader in a landmark court case that challenges societal norms.,https://placehold.co/300x450/16213e/f39c12?text=Maharaj,https://www.youtube.com/watch?v=8EpF1d-MVzE
36,Ulajh,"Drama,Thriller",A young diplomat gets embroiled in a dangerous conspiracy that threatens her career and her life.,https://placehold.co/300x450/16213e/f39c12?text=Ulajh,https://www.youtube.com/watch?v=8EpF1d-MVzE
37,Auron Mein Kahan Dum Tha,"Drama,Romance","Two former lovers reunite after decades, confronting the choices that tore them apart.",https://placehold.co/300x450/16213e/f39c12?text=Auron%20Mein%20Kahan%20Dum%20Tha,https://www.youtube.com/watch?v=8EpF1d-MVzE
